timestamp,adc_x,adc_y,adc_z
2025-02-26 17:16:07.003498,-22.0,0.0,11.0
2025-02-26 17:16:07.004138,-34.0,0.0,1.0
2025-02-26 17:16:07.004857,-38.0,0.0,-3.0
2025-02-26 17:16:07.005248,-42.0,0.0,-5.0
2025-02-26 17:16:07.006005,-42.0,0.0,-1.0
2025-02-26 17:16:07.060840,-34.0,0.0,25.0
2025-02-26 17:16:07.060902,-2.0,0.0,28.0
2025-02-26 17:16:07.061566,-4.0,0.0,23.0
2025-02-26 17:16:07.121314,-22.0,0.0,12.0
2025-02-26 17:16:07.121584,-34.0,0.0,1.0
2025-02-26 17:16:07.121859,-38.0,0.0,-5.0
2025-02-26 17:16:07.122271,-36.0,0.0,1.0
2025-02-26 17:16:07.122760,-20.0,0.0,26.0
2025-02-26 17:16:07.123430,-4.0,0.0,28.0
2025-02-26 17:16:07.123954,-7.0,0.0,25.0
2025-02-26 17:16:07.124771,-28.0,0.0,9.0
2025-02-26 17:16:07.125243,-36.0,0.0,-1.0
2025-02-26 17:16:07.125780,-42.0,0.0,-6.0
2025-02-26 17:16:07.126403,-42.0,0.0,-6.0
2025-02-26 17:16:07.127000,-22.0,0.0,17.0
2025-02-26 17:16:07.127610,-2.0,0.0,30.0
2025-02-26 17:16:07.128306,-5.0,0.0,25.0
2025-02-26 17:16:07.129192,-24.0,0.0,9.0
2025-02-26 17:16:07.129484,-34.0,0.0,5.0
2025-02-26 17:16:07.130230,-37.0,0.0,-3.0
2025-02-26 17:16:07.130895,-54.0,0.0,7.0
2025-02-26 17:16:07.181340,2.0,0.0,11.0
2025-02-26 17:16:07.181378,-5.0,0.0,27.0
2025-02-26 17:16:07.181601,-2.0,0.0,29.0
2025-02-26 17:16:07.182130,-8.0,0.0,13.0
2025-02-26 17:16:07.182828,-29.0,0.0,7.0
2025-02-26 17:16:07.183358,-37.0,0.0,-1.0
2025-02-26 17:16:07.184118,-42.0,0.0,-7.0
2025-02-26 17:16:07.184638,-25.0,0.0,14.0
2025-02-26 17:16:07.185319,-4.0,0.0,29.0
2025-02-26 17:16:07.240807,-37.0,0.0,17.0
2025-02-26 17:16:07.241231,-9.0,0.0,13.0
2025-02-26 17:16:07.241537,-24.0,0.0,7.0
2025-02-26 17:16:07.242650,-33.0,0.0,-2.0
2025-02-26 17:16:07.243172,-37.0,0.0,-5.0
2025-02-26 17:16:07.243396,-42.0,0.0,-5.0
2025-02-26 17:16:07.243975,-24.0,0.0,14.0
2025-02-26 17:16:07.244789,-8.0,0.0,27.0
2025-02-26 17:16:07.245244,-2.0,0.0,26.0
2025-02-26 17:16:07.245946,-8.0,0.0,16.0
2025-02-26 17:16:07.300898,-54.0,0.0,-1.0
2025-02-26 17:16:07.301277,-38.0,0.0,1.0
2025-02-26 17:16:07.301611,-41.0,0.0,-7.0
2025-02-26 17:16:07.302061,-40.0,0.0,1.0
2025-02-26 17:16:07.302795,-10.0,0.0,25.0
2025-02-26 17:16:07.303360,-2.0,0.0,29.0
2025-02-26 17:16:07.303935,-6.0,0.0,25.0
2025-02-26 17:16:07.304522,-26.0,0.0,9.0
2025-02-26 17:16:07.305179,-35.0,0.0,-2.0
2025-02-26 17:16:07.305770,-40.0,0.0,-5.0
2025-02-26 17:16:07.361395,-42.0,0.0,15.0
2025-02-26 17:16:07.361667,0.0,0.0,27.0
2025-02-26 17:16:07.361909,-5.0,0.0,28.0
2025-02-26 17:16:07.362170,-20.0,0.0,10.0
2025-02-26 17:16:07.362723,-29.0,0.0,0.0
2025-02-26 17:16:07.363371,-38.0,0.0,-2.0
2025-02-26 17:16:07.364050,-40.0,0.0,-2.0
2025-02-26 17:16:07.364521,-18.0,0.0,24.0
2025-02-26 17:16:07.365172,-6.0,0.0,27.0
2025-02-26 17:16:07.365799,2.0,0.0,25.0
2025-02-26 17:16:07.420832,-52.0,0.0,5.0
2025-02-26 17:16:07.421139,-30.0,0.0,4.0
2025-02-26 17:16:07.421586,-37.0,0.0,0.0
2025-02-26 17:16:07.422165,-39.0,0.0,-5.0
2025-02-26 17:16:07.422797,-42.0,0.0,-7.0
2025-02-26 17:16:07.423525,-26.0,0.0,13.0
2025-02-26 17:16:07.424025,-2.0,0.0,27.0
2025-02-26 17:16:07.424520,-4.0,0.0,27.0
2025-02-26 17:16:07.425144,-23.0,0.0,13.0
2025-02-26 17:16:07.425853,-30.0,0.0,2.0
2025-02-26 17:16:07.481500,-72.0,0.0,-8.0
2025-02-26 17:16:07.541056,-42.0,0.0,-1.0
2025-02-26 17:16:07.541124,-22.0,0.0,16.0
2025-02-26 17:16:07.541658,-2.0,0.0,29.0
2025-02-26 17:16:07.542286,-2.0,0.0,27.0
2025-02-26 17:16:07.542923,-8.0,0.0,22.0
2025-02-26 17:16:07.543463,-22.0,0.0,11.0
2025-02-26 17:16:07.544034,-30.0,0.0,7.0
2025-02-26 17:16:07.544659,-38.0,0.0,-1.0
2025-02-26 17:16:07.545141,-42.0,0.0,-6.0
2025-02-26 17:16:07.545977,-44.0,0.0,-6.0
2025-02-26 17:16:07.546686,-36.0,0.0,3.0
2025-02-26 17:16:07.547227,-23.0,0.0,12.0
2025-02-26 17:16:07.548201,-6.0,0.0,25.0
2025-02-26 17:16:07.548700,0.0,0.0,25.0
2025-02-26 17:16:07.548974,-7.0,0.0,25.0
2025-02-26 17:16:07.549501,-25.0,0.0,10.0
2025-02-26 17:16:07.550195,-28.0,0.0,1.0
2025-02-26 17:16:07.550685,-37.0,0.0,0.0
2025-02-26 17:16:07.551348,-38.0,0.0,-4.0
2025-02-26 17:16:07.552210,-38.0,0.0,30.0
2025-02-26 17:16:07.600971,-19.0,0.0,10.0
2025-02-26 17:16:07.601325,-18.0,0.0,13.0
2025-02-26 17:16:07.601882,-10.0,0.0,26.0
2025-02-26 17:16:07.602379,0.0,0.0,27.0
2025-02-26 17:16:07.603093,-2.0,0.0,26.0
2025-02-26 17:16:07.603550,-7.0,0.0,25.0
2025-02-26 17:16:07.603998,-20.0,0.0,11.0
2025-02-26 17:16:07.604714,-28.0,0.0,7.0
2025-02-26 17:16:07.605471,-36.0,0.0,0.0
2025-02-26 17:16:07.661164,-66.0,0.0,-15.0
2025-02-26 17:16:07.661246,-43.0,0.0,-8.0
2025-02-26 17:16:07.661757,-28.0,0.0,9.0
2025-02-26 17:16:07.662253,-8.0,0.0,27.0
2025-02-26 17:16:07.662765,-2.0,0.0,27.0
2025-02-26 17:16:07.663332,0.0,0.0,27.0
2025-02-26 17:16:07.664009,-24.0,0.0,13.0
2025-02-26 17:16:07.664594,-34.0,0.0,6.0
2025-02-26 17:16:07.665181,-36.0,0.0,-3.0
2025-02-26 17:16:07.665890,-42.0,0.0,-6.0
2025-02-26 17:16:07.721135,-42.0,0.0,16.0
2025-02-26 17:16:07.721194,-5.0,0.0,23.0
2025-02-26 17:16:07.721714,0.0,0.0,27.0
2025-02-26 17:16:07.722219,-6.0,0.0,25.0
2025-02-26 17:16:07.722772,-24.0,0.0,11.0
2025-02-26 17:16:07.723624,-34.0,0.0,5.0
2025-02-26 17:16:07.724114,-36.0,0.0,-2.0
2025-02-26 17:16:07.724553,-42.0,0.0,-5.0
2025-02-26 17:16:07.725424,-41.0,0.0,-6.0
2025-02-26 17:16:07.725916,-34.0,0.0,7.0
2025-02-26 17:16:07.780934,-34.0,0.0,27.0
2025-02-26 17:16:07.780968,-2.0,0.0,26.0
2025-02-26 17:16:07.781802,0.0,0.0,24.0
2025-02-26 17:16:07.782319,-8.0,0.0,15.0
2025-02-26 17:16:07.782759,-28.0,0.0,9.0
2025-02-26 17:16:07.783599,-36.0,0.0,0.0
2025-02-26 17:16:07.784223,-40.0,0.0,-3.0
2025-02-26 17:16:07.784735,-42.0,0.0,-6.0
2025-02-26 17:16:07.785209,-42.0,0.0,-6.0
2025-02-26 17:16:07.785811,-24.0,0.0,13.0
2025-02-26 17:16:07.841018,-24.0,0.0,27.0
2025-02-26 17:16:07.841309,2.0,0.0,29.0
2025-02-26 17:16:07.841578,0.0,0.0,29.0
2025-02-26 17:16:07.842439,-6.0,0.0,25.0
2025-02-26 17:16:07.842937,-25.0,0.0,11.0
2025-02-26 17:16:07.843639,-28.0,0.0,5.0
2025-02-26 17:16:07.844176,-33.0,0.0,1.0
2025-02-26 17:16:07.844811,-38.0,0.0,-4.0
2025-02-26 17:16:07.845269,-41.0,0.0,-3.0
2025-02-26 17:16:07.845846,-30.0,0.0,7.0
2025-02-26 17:16:07.901476,-36.0,0.0,25.0
2025-02-26 17:16:07.901525,1.0,0.0,28.0
2025-02-26 17:16:07.901733,-2.0,0.0,25.0
2025-02-26 17:16:07.902092,-10.0,0.0,16.0
2025-02-26 17:16:07.902787,-26.0,0.0,7.0
2025-02-26 17:16:07.903393,-38.0,0.0,-2.0
2025-02-26 17:16:07.904028,-40.0,0.0,-7.0
2025-02-26 17:16:07.904653,-29.0,0.0,9.0
2025-02-26 17:16:07.905223,-4.0,0.0,26.0
2025-02-26 17:16:07.905808,0.0,0.0,29.0
2025-02-26 17:16:07.961099,-52.0,0.0,7.0
2025-02-26 17:16:07.961139,-25.0,0.0,10.0
2025-02-26 17:16:07.961716,-30.0,0.0,5.0
2025-02-26 17:16:07.962177,-36.0,0.0,-3.0
2025-02-26 17:16:07.962955,-40.0,0.0,-7.0
2025-02-26 17:16:07.963518,-40.0,0.0,-1.0
2025-02-26 17:16:07.964035,-18.0,0.0,23.0
2025-02-26 17:16:07.964739,-2.0,0.0,28.0
2025-02-26 17:16:07.965344,-7.0,0.0,24.0
2025-02-26 17:16:07.965913,-24.0,0.0,10.0
2025-02-26 17:16:08.021095,-60.0,0.0,-9.0
2025-02-26 17:16:08.021383,-42.0,0.0,-5.0
2025-02-26 17:16:08.021785,-39.0,0.0,5.0
2025-02-26 17:16:08.022180,-7.0,0.0,25.0
2025-02-26 17:16:08.022781,-6.0,0.0,26.0
2025-02-26 17:16:08.023962,-8.0,0.0,23.0
2025-02-26 17:16:08.024063,-26.0,0.0,9.0
2025-02-26 17:16:08.024607,-31.0,0.0,0.0
2025-02-26 17:16:08.025167,-39.0,0.0,-4.0
2025-02-26 17:16:08.026019,-41.0,0.0,-7.0
2025-02-26 17:16:08.081063,-41.0,0.0,23.0
2025-02-26 17:16:08.081104,-6.0,0.0,27.0
2025-02-26 17:16:08.081721,0.0,0.0,26.0
2025-02-26 17:16:08.082161,-6.0,0.0,25.0
2025-02-26 17:16:08.082758,-26.0,0.0,11.0
2025-02-26 17:16:08.083385,-34.0,0.0,-1.0
2025-02-26 17:16:08.084060,-38.0,0.0,-4.0
2025-02-26 17:16:08.141034,-42.0,0.0,-5.0
2025-02-26 17:16:08.141073,-30.0,0.0,9.0
2025-02-26 17:16:08.141553,-6.0,0.0,26.0
2025-02-26 17:16:08.142243,-4.0,0.0,27.0
2025-02-26 17:16:08.142907,-9.0,0.0,15.0
2025-02-26 17:16:08.143396,-26.0,0.0,9.0
2025-02-26 17:16:08.144115,-36.0,0.0,1.0
2025-02-26 17:16:08.144577,-36.0,0.0,-3.0
2025-02-26 17:16:08.145089,-42.0,0.0,-7.0
2025-02-26 17:16:08.145864,-22.0,0.0,23.0
2025-02-26 17:16:08.146363,0.0,0.0,27.0
2025-02-26 17:16:08.147164,-8.0,0.0,27.0
2025-02-26 17:16:08.147494,-10.0,0.0,12.0
2025-02-26 17:16:08.148224,-58.0,0.0,-5.0
2025-02-26 17:16:08.201169,-38.0,0.0,-2.0
2025-02-26 17:16:08.201227,-39.0,0.0,-5.0
2025-02-26 17:16:08.201712,-44.0,0.0,-7.0
2025-02-26 17:16:08.202258,-19.0,0.0,16.0
2025-02-26 17:16:08.202721,0.0,0.0,27.0
2025-02-26 17:16:08.203545,-6.0,0.0,26.0
2025-02-26 17:16:08.204007,-7.0,0.0,23.0
2025-02-26 17:16:08.204675,-28.0,0.0,7.0
2025-02-26 17:16:08.205219,-38.0,0.0,-3.0
2025-02-26 17:16:08.261050,-64.0,0.0,-16.0
2025-02-26 17:16:08.261111,-38.0,0.0,5.0
2025-02-26 17:16:08.261278,-18.0,0.0,10.0
2025-02-26 17:16:08.262443,0.0,0.0,26.0
2025-02-26 17:16:08.262749,-2.0,0.0,27.0
2025-02-26 17:16:08.263529,-22.0,0.0,12.0
2025-02-26 17:16:08.263952,-34.0,0.0,7.0
2025-02-26 17:16:08.264620,-37.0,0.0,-1.0
2025-02-26 17:16:08.265371,-44.0,0.0,-6.0
2025-02-26 17:16:08.265858,-36.0,0.0,9.0
2025-02-26 17:16:08.320854,-30.0,0.0,25.0
2025-02-26 17:16:08.321147,0.0,0.0,29.0
2025-02-26 17:16:08.321721,-8.0,0.0,23.0
2025-02-26 17:16:08.321956,-24.0,0.0,9.0
2025-02-26 17:16:08.322698,-38.0,0.0,1.0
2025-02-26 17:16:08.323732,-39.0,0.0,-4.0
2025-02-26 17:16:08.323840,-42.0,0.0,-4.0
2025-02-26 17:16:08.324666,-20.0,0.0,16.0
2025-02-26 17:16:08.325169,-4.0,0.0,26.0
2025-02-26 17:16:08.326246,1.0,0.0,27.0
2025-02-26 17:16:08.380892,-42.0,0.0,9.0
2025-02-26 17:16:08.380934,-23.0,0.0,11.0
